from	to
8749168	4870005
8749168	1240268
11330653	9081267
11330653	11035597
4004863	5173426
4004863	10007115
11200570	11015427
11322629	10002343
4288043	2901002
11322629	2901002
11322629	11323870
11322629	8144553
11322629	10002343
6480757	9081267
4004863	1240268
684004	6256482
684004	7964527
7247715	1499803
7247715	2832011
5212614	10119199
5212614	4333359
5212614	7964527
9666094	9032932
9666094	9666094
5212614	6792471
7313804	9214517
7313804	2255198
7081275	6625815
7081275	7964527
10193760	11255365
439621	2901002
9758660	2901002
439621	2901002
9988582	4238408
9988582	4518388
9988582	7671519
6744260	6652751
7658885	7964527
7658885	6755649
11246230	3545273
8791503	7964527
11300648	10991314
11300648	4333359
11300648	10868996
5170800	2901002
5170800	10337630
10419999	2901002
11271281	2825570
11271281	8926720
11135962	2901002
10602316	2901002
10602316	7932273
6799378	2421817
6493355	9324678
4804608	11137576
9335777	5858851
9335777	4909087
9284675	7725670
6239923	6792743
6239923	9512152
6239923	4333359
6239923	10799544
3584680	6792743
11224526	7932273
9288752	4909087
9288752	9840637
11261273	9524722
11261273	8431111
6239923	4909087
9933449	6615163
9933449	6031995
9933449	9510729
9933449	11076781
4004863	4004863
4004863	3545273
4004863	9803111
9933449	6287308
9933449	2901002
10115186	10964685
10813833	10813833
6799378	7964527
9940782	4909087
11174424	7964527
11174424	9081267
11174424	4909087
5375274	7053679
7932273	9840637
7932273	9976846
7932273	8123710
7932273	2958943
8359315	423926
11241169	6349838
7881599	6361531
7881599	5238915
7881599	3735873
8244932	2901002
10133689	2901002
9757927	8208006
9757927	2570261
5375274	8123710
5375274	11015427
10029062	7237062
10029062	3284713
10029062	9803111
10029062	3967578
10029062	6797250
8901292	9840637
9758660	6287308
9758660	4333359
5322660	8410622
5322660	5322660
9142709	2864250
10970478	1762211
10970478	6881240
7938217	7938217
11111792	7077050
11111792	3483203
8212173	9512152
8212173	2901002
439621	2901002
439621	8228558
8219251	4550141
8219251	6220759
8219251	8111755
9806377	1294386
9806377	4278403
10443817	8970054
10443817	1831706
9271965	4673475
2308722	10895207
