UserId	PostId	PostTypeID
9161607	56797819	1
11737596	57252299	1
11841536	57256210	1
5124600	57256878	1
11851719	57251982	1
9940344	57251054	1
9822593	57231723	1
11848326	57244759	1
11848326	57242167	1
11848326	57243351	1
6843546	57228605	1
8915326	57207648	1
11842999	57225782	1
10537172	57224116	1
5868293	57218603	1
11793041	57212688	1
8076217	57211238	1
11838431	57210071	1
7039652	57207515	1
11836102	57202115	1
10728472	57201516	1
10704050	57195340	1
10631169	57168466	1
11723147	57190244	1
10473393	57187746	1
9144386	57185160	1
10018602	57160788	1
808946	57165674	1
8150532	56851679	1
11049287	57148976	1
11822211	57156520	1
11740957	57148213	1
2679225	57116732	1
11113048	57127615	1
11773938	57126350	1
3249399	57103260	1
11805447	57103316	1
10906075	57102609	1
1479974	57091459	1
10329877	57090793	1
11027302	57089673	1
1750612	57079500	1
11463582	57051575	1
11787898	57044879	1
3689085	57044240	1
11787291	57042940	1
10808871	57032987	1
8515731	57030811	1
11783204	57029344	1
11781149	57023563	1
11202824	57024882	1
7691211	44293327	1
10750517	53662134	1
4390183	57015736	1
11665508	57000181	1
3552144	57011237	1
7420623	52041488	1
9921453	57005614	1
8700970	57001725	1
2401532	56947186	1
10375196	57003953	1
5212614	56995345	1
5212614	56993449	1
5813071	56993825	1
2480410	56989136	1
11027302	56984028	1
11741662	56980228	1
4058737	42178844	1
11027302	56954569	1
11196704	56952499	1
10644025	56944375	1
10631079	56939963	1
4972716	36864690	1
9940344	56932246	1
11463582	56921524	1
3685918	56919548	1
5868293	56900535	1
11518140	56906887	1
3143203	56899563	1
9195301	56905048	1
5864214	56890101	1
9863261	56896663	1
9944937	56894075	1
6896310	56877954	1
11181726	56893420	1
9099959	56889497	1
9497926	56886004	1
10018602	56879647	1
11600323	56873664	1
6759267	56859205	1
11731242	56861369	1
11729738	56855015	1
11727943	56847801	1
5684405	56824777	1
4829258	48044542	1
4666912	56814648	1
9161607	56799334	1
4458477	56806052	1
583464	56802740	1
10808871	56802883	1
270326	56796453	1
11135962	56791860	1
11565807	56766347	1
7462615	54588066	1
9161607	56782322	1
8346493	56782077	1
9099959	56772319	1
11312863	56748567	1
11196704	56771357	1
11579479	56748116	1
11075330	56738009	1
9099959	56737166	1
11519635	56725494	1
11688141	56723821	1
1761521	56723234	1
9561497	51035439	1
6436846	56708521	1
2168400	56675101	1
5967886	56707084	1
11196704	56687480	1
9024698	56685860	1
11312863	56659979	1
9378830	56671797	1
11666502	56656364	1
5212614	56605540	1
3811918	56666313	1
7547586	56601081	1
11312863	56653144	1
6140832	56656229	1
2242044	56656780	1
11228769	56656842	1
8993099	56649554	1
11324057	56648149	1
9799540	56646426	1
866364	56641354	1
9024698	56631754	1
11658120	56628516	1
10193760	56624195	1
11652299	56611461	1
11650891	56607596	1
10895812	55671830	1
6043544	56585640	1
576448	56571730	1
4746684	56578664	1
9895978	56573317	1
11639677	56572158	1
11611758	56568685	1
11636704	56562448	1
7932273	56555029	1
11633760	56552721	1
2091230	48528146	1
9530105	56548799	1
10396157	56547315	1
10058906	56540203	1
4701426	56509717	1
3848207	51781909	1
11600098	56469102	1
9998722	56526091	1
292291	56520381	1
11623512	56519965	1
11616334	56511124	1
