from	to	weight
2463570	2271269	49
1930543	826983	4
3639023	4044103	19
2901002	4983450	3
996205	2285236	5
8896651	2285236	5
7964527	996205	1
7964527	8896651	1
7964527	2285236	6
4887708	2464121	1
1240268	2336654	6
1240268	7954504	2
7954504	2336654	4
7964527	1240268	1
7964527	7954504	3
8807079	4800652	1
890242	2336654	5
2901002	890242	1
4995030	890242	2
4995030	2336654	7
4995030	2901002	1
5741205	6287308	2
5741205	2336974	1
2336974	6287308	1
7964527	5811078	2
6341054	5811078	2
5741205	4983450	8
1972924	4909087	5
5741205	5205141	1
6451244	6573902	2
6451244	2137255	2
8347081	100297	1
7571052	5633320	6
4800652	2336654	6
2411802	2336654	24
7068859	2901002	1
3293881	6287308	1
7964527	3293881	1
4247599	8529697	1
4247599	2901002	1
4359551	2137255	1
6361531	2336654	10
190597	5393381	1
5741205	190597	2
5741205	5393381	3
2901002	1782792	5
4800652	1782792	5
8381385	2901002	1
2901002	4900574	1
4900574	2336654	5
5741205	8194773	1
5741205	1762211	4
8368216	8194773	1
8368216	1762211	2
8194773	1762211	1
2901002	2137255	1
7964527	190597	2
3135417	6361531	2
3135417	2137255	2
6342575	5276797	11
5741205	2411802	2
7964527	2324298	1
4760331	2336654	6
4832296	2336654	7
4832296	4760331	1
4832296	2411802	1
5026929	2336654	7
5026929	4760331	1
5026929	2411802	1
2411802	5075720	1
8290376	5026929	4
812662	2901002	1
5514476	2336654	7
5514476	6342575	2
5514476	4983450	4
6342575	2336654	5
6342575	4983450	2
4983450	2336654	6
8290376	2336654	11
8290376	7985142	4
7985142	2336654	7
1453822	2137255	1
2336654	4686625	7
2411802	4686625	13
2411802	4909087	4
4909087	4686625	9
5003756	7672533	1
5741205	6361531	4
8144295	4800652	1
314922	5393381	3
314922	2821252	1
2821252	5393381	2
6361531	5241032	6
2901002	5241032	7
7445833	3990806	1
5497294	5300112	3
5497294	2285236	6
5300112	2285236	3
7964527	7982275	4
5741205	1577947	1
2897372	7688996	2
2285236	2336654	2
67579	6361531	1
6304017	4049396	1
2901002	704848	6
3731467	6342575	2
6622817	1478537	1
3626961	2336654	6
1240268	7311767	2
667883	2336654	5
6163621	667883	1
6163621	2336654	6
2901002	667883	1
6277525	667883	2
5741205	837534	5
5520354	837534	5
5006	2336654	7
10335	2302819	8
7607701	6287308	2
2336654	624829	2
6817835	2901002	1
6203717	4323	2
5003756	3628236	5
1427416	2336654	3
5952674	2336654	4
5952674	1427416	1
6287308	1427416	2
6287308	5952674	1
6207849	2336654	3
3558644	42346	5
10238	42346	5
1753919	2336654	7
5741205	4356204	1
6916973	4356204	1
6053327	3558644	1
5869177	4686625	26
5869177	4983450	3
4787467	4686625	26
4787467	4983450	3
4983450	4686625	20
1239729	7565818	2
4431535	624829	8
5800230	2748781	8
1562285	2336654	6
4082217	4323	1
4082217	4492932	2
487339	2336654	4
6287308	487339	1
682797	2336654	6
682797	487339	2
682797	6287308	1
1993206	2901002	1
6797347	624829	8
6637269	2901002	1
3877338	2336654	3
5741205	6207849	4
2901002	6207849	3
545438	4983450	3
545438	2336654	6
5741205	704848	14
5806746	4983450	1
5741205	5806746	3
3707607	2336654	5
2901002	4492932	2
2901002	2543372	1
5741205	3558644	2
5741205	3765319	1
3765319	3558644	1
3025981	2285236	5
3339965	704848	5
5741205	3339965	2
5741205	1474727	2
5741205	2063361	1
1474727	704848	5
2063361	3339965	1
2063361	1474727	1
2063361	704848	6
2901002	2285236	5
3124409	4099813	1
6900523	4983450	3
4313064	6900523	1
4313064	4983450	4
4177078	5626112	3
7045225	2901002	1
5741205	2285236	6
4291583	704848	7
3751373	6207849	4
6414203	1762211	2
6669476	1762211	2
1681480	2336654	6
3455794	2483271	1
3455794	3732271	1
3455794	4983450	4
2483271	4983450	3
3732271	4983450	3
3165737	2411802	1
3846228	2411802	1
1225744	2087463	2
2901002	190597	1
3293881	2336654	6
1439745	4983450	3
6005451	1101713	1
2901002	699305	3
5314012	699305	4
5314012	2901002	1
4585963	3657742	1
2901002	3657742	1
1494637	2901002	2
1494637	4317058	4
1227991	257465	12
786593	1624921	1
786593	2549021	1
6259990	1624921	2
6259990	2549021	2
5019586	2635790	1
5019586	2826011	3
5019586	2357112	2
2635790	2826011	2
2635790	2357112	1
2357112	2826011	1
3991649	2635790	1
3991649	2826011	3
3991649	2357112	2
1771479	2901002	1
1910242	3628236	1
2137255	3628236	3
2137255	1910242	2
5741205	3691783	3
2901002	3691783	2
5402048	704848	7
5331112	3474956	1
4394564	3474956	2
4394564	5331112	1
3077059	3474956	2
3077059	5331112	1
4542359	2699288	1
2699288	3510736	1
2901002	2699288	1
2411802	2699288	1
2411802	3510736	4
674301	1502891	1
2142055	2028710	2
2370124	2901002	1
844823	190597	1
2901002	5276797	12
2070074	837534	4
5142797	837534	5
5142797	2070074	1
837534	704848	2
1494637	1968405	1
690430	704848	5
1494637	2411802	1
1857805	2411802	1
2141635	487339	2
2141635	704848	6
4807623	2141635	2
4807623	487339	4
4807623	704848	8
4807623	447015	2
487339	704848	12
447015	487339	2
447015	704848	6
795990	487339	2
795990	704848	6
2699288	704848	5
5014134	3394978	1
1240268	487339	2
1240268	704848	6
170005	487339	2
1113211	918959	2
1968182	918959	2
4077912	704848	6
3849456	498892	1
1678467	498892	1
190597	1222578	6
190597	298607	1
298607	1222578	5
1240268	847663	3
1240268	625914	2
1240268	1221924	4
398968	644898	5
