from,Score1,to,Score2
2242044,1,7835267,3
2242044,1,8313460,0
11228769,0,7964527,0
8993099,0,10325516,0
8993099,0,3476346,2
9799540,1,2901002,1
866364,2,4909087,5
866364,2,7964527,0
9024698,0,8123710,2
9024698,0,2901002,1
11650891,1,5120049,0
10895812,4,4909087,5
6043544,0,1422451,0
576448,0,576448,0
4746684,1,2901002,1
9895978,-2,7117003,1
11611758,1,5502866,0
11611758,1,9311083,1
11611758,1,11631496,0
7932273,0,4909087,5
11633760,0,6511941,3
11633760,0,10033286,0
2091230,4,9200529,1
2091230,4,1692260,4
2091230,4,2091230,4
10396157,1,2319771,0
10396157,1,5847854,2
4701426,1,8121719,1
4701426,1,10157759,2
4701426,1,7964527,0
3848207,0,9511702,2
3848207,0,7932273,0
3848207,0,2137255,2
11600098,0,11600098,0
11600098,0,9081267,1
292291,0,11015427,0
292291,0,11592102,1
11623512,1,2997855,1
11616334,3,2535611,1
11616334,3,7964527,0
11616334,3,4909087,5
9024698,0,2336654,7
9024698,0,9024698,0
11196704,1,2901002,1
11600963,0,7131499,1
11600963,0,10888655,1
11600963,0,3545273,0
11600963,0,10157759,2
11196704,1,8008776,0
1768419,2,2901002,1
1768419,2,8708364,0
10539466,0,5331834,1
10539466,0,5359002,1
7535419,0,7964527,0
11451039,3,3717658,0
11451039,3,4238408,2
11451039,3,10067043,0
11451039,3,7371893,0
11451039,3,3806464,0
8791503,0,4238408,2
8791503,0,10331864,0
8791503,0,7964527,0
11600963,0,3474452,0
11135962,0,9840637,2
11091145,1,2901002,1
5868293,0,2901002,1
11247027,3,11247027,3
11247027,3,11486681,0
8212173,1,2901002,1
11451522,1,7867968,0
4133063,21,2032994,4
4133063,21,9529048,14
4133063,21,1237531,23
7469605,9,9360135,1
7469605,9,4686625,14
4982782,0,5811078,2
11588430,0,7964527,0
11585893,-1,2284490,2
11523244,0,4238408,2
9024698,0,4238408,2
9024698,0,9840637,2
11135962,0,785673,0
11135962,0,11492024,1
7535419,0,7535419,0
7535419,0,1240268,1
4375983,-1,10286422,1
8579587,1,10041823,0
5868293,0,2901002,1
5868293,0,8123710,2
