UserId,Score
9947248,1
8361728,1
9995030,1
11131369,0
5520027,1
7930571,1
11396296,2
3448011,0
11386089,2
9988582,1
11031361,1
11031361,1
331174,2
9988582,0
9718282,3
156531,2
9452512,0
4494842,5
11383307,4
208127,1
11381682,0
11343149,0
11286588,0
7932273,7
10797986,2
10865832,3
8150532,0
11135962,1
4150078,-1
11031361,0
11031361,1
10419886,0
11218700,3
11218700,0
2091169,0
10833061,0
9988582,1
5212614,0
11322649,3
5868293,4
8291684,2
4338000,0
11065684,0
8797830,-1
9927054,0
6920946,2
9580899,1
6621793,1
11338673,0
439621,1
9988582,0
4150078,0
6302061,3
8749168,2
11330653,0
4004863,0
4004863,1
11200570,4
11322629,1
4288043,6
11322629,1
11322649,1
10032455,0
6480757,0
4004863,3
7766063,0
684004,1
6110285,2
7247715,-1
5212614,0
9666094,0
5212614,1
11313803,0
7313804,-1
7081275,0
10193760,0
439621,3
578204,2
6473080,0
9758660,1
439621,0
578204,0
9988582,0
6744260,0
7658885,0
11246230,0
8791503,0
11300648,0
5170800,1
10419999,1
11271281,0
11135962,0
10602316,4
6799378,0
6493355,1
4804608,0
9335777,6
9284675,0
6239923,1
3584680,0
6646912,0
11224526,1
9288752,2
11261273,1
6239923,2
9933449,1
4004863,0
9933449,2
10115186,0
10813833,0
6799378,0
11257593,0
9940782,2
11174424,2
11256071,0
3249641,0
11058050,0
5375274,0
7932273,2
8359315,0
11241169,-1
7881599,0
8244932,1
9715637,0
10133689,1
9757927,2
5375274,1
10029062,5
8901292,0
5375274,0
9758660,4
5322660,0
9142709,0
10970478,0
7938217,3
9957506,0
11111792,3
11165120,0
8212173,1
439621,2
8219251,-1
9806377,1
10443817,1
9271965,0
2308722,0
11210589,0
4150078,0
11109146,0
10193760,2
10029062,2
7671519,1
10854520,1
10494720,-4
6414747,1
2938496,1
4948889,3
7590993,2
11173141,0
10719369,1
9936834,0
11132325,1
6674648,0
11171453,1
3096094,1
4526288,0
4526288,2
1839946,3
10791231,1
9518098,0
8060611,0
11148219,0
8045308,3
11146521,-2
9919507,0
7873912,0
9431573,1
687739,3
8051444,-1
8526986,1
8526986,1
8051444,-1
5565466,3
5610840,-2
10209499,3
4150078,0
9281012,1
9585967,0
10729703,0
8206409,0
4808588,2
8846998,1
8795734,1
11100832,0
10230456,2
8417039,1
8526986,1
11025776,1
3524158,2
2110805,4
2006697,2
4436803,0
2293224,0
3403590,0
4701426,1
7081275,0
2716095,-1
10755534,0
2198720,1
11078228,0
1334657,2
11053304,0
8389470,-1
2006598,0
9677043,4
5431734,1
5847425,11
7158436,2
7637930,2
9371703,1
6752994,-1
7637930,1
9840637,2
4948889,1
10719369,0
1437138,0
10335144,0
9615917,13
10416218,1
3524158,0
11047864,3
927827,2
11046173,0
5868293,1
5868293,1
11024951,1
11038901,3
3146365,0
11035634,2
8293309,2
6647375,1
1058584,1
4948889,1
2938496,0
501054,0
7852656,0
10719369,1
2717063,1
3088202,1
8727339,0
10985548,-1
7420623,2
10834788,1
825227,0
2129285,1
5413088,1
9530105,3
10834788,0
11000498,1
10865832,0
7347631,2
7759833,0
825227,1
8160881,1
8051444,0
9530105,2
8051444,-3
10429891,1
9177877,2
6525082,0
9530105,0
4436803,1
1305886,0
6083404,0
10603191,1
10791217,0
9111050,0
10719867,1
10964500,1
10883088,0
10422855,3
8211523,1
6162307,2
7932273,3
2504762,0
9800981,2
5939036,0
5939036,3
9228219,0
10913191,0
6865678,2
10938654,0
10780075,1
9800981,1
4803521,-1
1696605,1
9530105,0
3685856,18
8222863,0
9924147,1
8003817,-1
10067043,0
8727339,1
3796599,0
7932273,1
9512152,-5
8474517,-1
6699237,0
10831574,-1
1467082,2
7420623,3
7644267,1
4984061,2
10891071,-1
6636181,0
10335283,2
9772551,1
9542954,1
9800981,0
10865832,3
7004463,0
10865832,-2
10801499,0
3116949,1
8741108,1
10542945,1
965778,0
10818522,0
10112876,0
1243255,3
10801499,3
7476771,0
8207612,0
10507187,3
10833061,1
2397318,11
6338443,1
5129031,5
10464813,1
9143467,1
7802345,0
9968110,1
10838789,0
5604992,4
9331478,0
10767482,0
10830071,0
9367412,0
10742470,-1
4520017,1
2598876,18
10821372,1
10805303,0
4966699,1
5120089,2
10770660,3
7420623,3
8727339,2
2293224,2
10211367,1
10150468,0
10516752,-4
9590712,1
10133689,0
10813833,1
2170140,0
4317794,-2
8791503,0
651174,1
9431057,1
9978457,2
10332687,0
10719867,1
8791503,3
4964409,2
10741532,2
439621,0
439621,1
10789500,4
10720165,2
4150078,0
2304735,-1
9775974,0
9840637,-1
3277133,1
1941253,1
9420988,2
10543130,3
10133689,0
9177877,16
3277133,2
5656327,5
3228542,1
9210757,0
10376194,2
10395806,0
10481797,0
6912791,0
9832302,0
6896605,1
5820814,1
5820814,2
5820814,3
8849216,0
3446351,6
2362852,2
596841,4
7420623,0
7000874,-1
8468264,4
6945824,0
2867882,0
8469518,-1
7644562,3
5820814,6
7058823,1
10582772,-1
4150078,1
5713272,3
10326478,2
5704863,1
9760446,2
9747311,2
8335487,5
9467345,1
8335487,0
9177877,3
2782382,0
8335487,2
6540590,1
4150078,0
10512735,1
3277133,-1
8080957,1
9773812,1
5453723,9
1155578,0
10706811,0
3277133,0
10655721,0
10339255,0
10395806,0
9590712,3
9590712,4
7166834,1
5071733,1
10395806,3
9933449,1
9563832,0
766708,0
10395806,1
10096185,-2
2260344,0
4520274,0
3936294,0
10586136,1
8482467,7
1970751,3
8688154,3
7376796,4
9776699,1
8224364,3
9794732,2
3800761,0
2649064,1
8916344,3
5218354,0
3277133,0
10609992,2
2298012,1
2298012,0
10530575,-1
7081275,1
9932027,0
7810784,3
